7,11,21,25,30
1,7,22,24,28
6,11,13,16,34
1,17,22,26,32
7,14,16,33,35
5,14,22,24,28
3,5,23,26,30
6,9,13,27,32
9,14,16,30,35
1,5,19,23,26
1,6,15,29,32
3,6,12,22,31
0,8,17,26,33
7,10,17,25,33
5,15,22,25,32
3,9,23,26,31
5,8,23,27,31
2,7,12,16,34
0,5,14,22,30
0,2,21,28,31
7,9,14,16,24
3,8,18,24,34
2,9,12,16,32
5,9,12,26,31
1,10,15,31,33
0,2,17,21,31
4,13,18,27,33
1,10,17,20,27
3,9,12,30,34
11,13,21,29,31
1,10,18,28,35
1,9,15,29,34
2,6,22,28,32
3,7,12,21,28
2,17,23,31,33
3,11,13,18,34
0,6,15,23,29
2,11,19,27,34
3,8,12,28,35
9,14,18,24,28
