1,9,23,28,30
4,12,14,31,33
4,6,23,25,33
7,9,14,28,36
7,16,24,26,30
6,13,21,31,35
2,6,16,24,31
7,11,13,21,30
9,13,18,28,35
4,19,24,26,33
4,11,13,18,33
2,9,19,24,28
5,10,14,28,30
3,8,23,31,33
4,6,14,29,34
7,9,23,27,32
5,12,14,19,29
1,8,18,23,32
5,14,19,29,36
8,18,23,25,32
12,17,19,25,33
1,18,20,28,36
1,9,17,19,36
4,12,18,20,25
1,8,17,33,36
5,12,20,25,28
9,12,17,25,32
1,4,20,29,36
4,9,14,23,32
4,9,14,23,29
8,14,23,28,33
5,14,23,28,33
2,6,22,27,31
7,11,15,30,34
3,7,22,26,30
6,10,15,31,35
3,11,20,26,29
2,10,17,32,35
2,5,20,27,35
8,11,17,26,34
