7,9,14,23,28,30
4,6,14,23,31,33
7,9,16,23,26,30
4,6,14,21,31,35
2,6,16,23,31,33
7,11,14,21,28,30
9,18,23,26,28,32
4,14,19,29,33,35
2,4,8,18,23,33
5,9,11,14,19,28
2,5,8,26,28,30
5,8,11,31,33,35
2,4,6,26,29,32
7,9,11,29,32,35
5,10,15,19,29,34
3,8,18,22,27,32
3,11,17,19,26,33
2,10,18,20,28,35
2,9,17,19,27,35
4,11,18,20,26,34
2,5,8,28,33,35
5,8,11,26,28,33
4,9,11,26,29,32
2,4,9,29,32,35
7,9,14,23,28,32
4,6,14,23,29,33
4,8,14,23,31,33
5,9,14,23,28,30
2,6,21,27,31,35
7,11,16,26,30,34
3,7,11,21,26,30
2,6,10,16,31,35
3,8,10,26,29,33
3,5,10,28,32,35
2,5,9,27,32,34
4,8,11,27,29,34
